Empresa;Agência;Modalidade;Estoque;Cliente;Asset;Emissão;Código;Taxa(%);;Custódia;Swap;PU;Qtde;Vlr. Ida;Vlr.Curva;Vlr.Vencto;Vlr.IRF;Vlr.IOF;Vlr.Líquido;Vencto;Índice(%);Código ISIN;Cond. Resgate;Data Liquidez
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065269 - 1000000;000013242 - AGORA CTVM S A;;24/10/2022;"=""CDB4227GMAO""";0,0000;SOVE;CETIP21;N;1.073,119333;15,00;15.000,00;16.096,79;16.096,79;0,00;0,00;16.096,79;24/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065270 - 1000000;000013242 - AGORA CTVM S A;;24/10/2022;"=""CDB4227GMAP""";0,0000;SOVE;CETIP21;N;1.071,780508;118,00;118.000,00;126.470,10;126.470,10;0,00;0,00;126.470,10;24/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065274 - 1000000;000013242 - AGORA CTVM S A;;25/10/2022;"=""CDB4227UV7V""";0,0000;SOVE;CETIP21;N;1.071,176500;40,00;40.000,00;42.847,06;42.847,06;0,00;0,00;42.847,06;25/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065305 - 1000000;000013242 - AGORA CTVM S A;;01/11/2022;"=""CDB422A0GR4""";0,0000;SOVE;CETIP21;N;1.068,796947;678,00;678.000,00;724.644,33;724.644,33;0,00;0,00;724.644,33;01/11/2023;112,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065313 - 1000000;000013242 - AGORA CTVM S A;;03/11/2022;"=""CDB422AJXT8""";0,0000;SOVE;CETIP21;N;1.064,422131;61,00;61.000,00;64.929,75;64.929,75;0,00;0,00;64.929,75;03/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065255 - 1000000;000013242 - AGORA CTVM S A;;19/10/2022;"=""CDB4226CWIH""";0,0000;SOVE;CETIP21;N;1.075,656040;101,00;101.000,00;108.641,26;108.641,26;0,00;0,00;108.641,26;21/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065324 - 1000000;000013242 - AGORA CTVM S A;;07/11/2022;"=""CDB422BY72Q""";0,0000;SOVE;CETIP21;N;1.063,276857;35,00;35.000,00;37.214,69;37.214,69;0,00;0,00;37.214,69;08/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065340 - 1000000;000013242 - AGORA CTVM S A;;10/11/2022;"=""CDB422DOKLA""";0,0000;SOVE;CETIP21;N;1.065,156333;30,00;30.000,00;31.954,69;31.954,69;0,00;0,00;31.954,69;10/11/2023;112,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065363 - 1000000;000013242 - AGORA CTVM S A;;16/11/2022;"=""CDB422F0D9H""";0,0000;SOVE;CETIP21;N;1.064,507000;10,00;10.000,00;10.645,07;10.645,07;0,00;0,00;10.645,07;17/11/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065369 - 1000000;000013242 - AGORA CTVM S A;;16/11/2022;"=""CDB422F0D9N""";0,0000;SOVE;CETIP21;N;1.059,848571;14,00;14.000,00;14.837,88;14.837,88;0,00;0,00;14.837,88;16/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065388 - 1000000;000013242 - AGORA CTVM S A;;18/11/2022;"=""CDB422FZSY0""";0,0000;SOVE;CETIP21;N;1.058,708462;26,00;26.000,00;27.526,42;27.526,42;0,00;0,00;27.526,42;18/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065403 - 1000000;000013242 - AGORA CTVM S A;;21/11/2022;"=""CDB422GCGY9""";0,0000;SOVE;CETIP21;N;1.058,139077;65,00;65.000,00;68.779,04;68.779,04;0,00;0,00;68.779,04;22/05/2023;106,00;"=""""";N;
